iata_code,airline_name,region,functional_currency,ebit_usd,load_factor,low_cost_carrier,airline_age,num_routes,passenger_yield,ask,avg_fleet_age,fleet_size,aircraft_utilisation
PD,Porter Airlines,North America,CAD,,,N,,,,,,,
TS,Air Transat,North America,CAD,67726000,0.85,N,38,,,,11,36,
9E,Endeavour Air,North America,USD,,,N,,,,,,,
ZW,Air Wisconsin,North America,USD,-36871000,,N,58,,,1457629000,21,63,
3M,Silver Airways,North America,USD,,,N,,,,,,,
SY,Sun Country Airlines,North America,USD,127500000,0.863,N,42,,0.11,9726892839,15,42,6.9
XP,Avelo Airlines,North America,USD,,,Y,,,,,,,
3H,Air Inuit,North America,CAD,,,N,,,,,,,
MO,Calm Air,North America,CAD,,,N,,,,,,,
CZ,China Southern Airlines,Asia Pacific,CNY,782800000,0.78,N,36,,0.078,316217460000,9.2,908,8.9
MU,China Eastern Airlines,Asia Pacific,CNY,270300000,0.744,N,36,,0.084,244960450000,8.7,800,
CA,Air China,Asia Pacific,CNY,406971800,0.732,N,36,336,0.086,292513160000,9.4,905,8.14
6E,IndiGo,Asia Pacific,INR,1216149848,0.821,Y,18,400,0.066,114359000000,3.5,300,16
AK,AirAsiaX,Asia Pacific,MYR,104259000,0.8,Y,18,,0.03,15604000000,12.1,18,
AI,Air India,Asia Pacific,INR,,,N,,,,,,,
SQ,Singapore Airlines,Asia Pacific,SGD,2027200000,0.854,N,52,200,0.096,106099300000,6.3,188,
VN,Vietnam Airlines,Asia Pacific,VND,-246300000,0.788,N,69,56,0.081,42200000000,,101,
QF,Qantas,Asia Pacific,AUD,1827000000,0.833,N,104,,0.118,117258000000,,336,
NZ,Air New Zealand,Asia Pacific,NZD,359000000,0.847,N,84,,0.112,34281000000,10,106,10
PX,Air Niugini,Asia Pacific,PGK,,,N,,,,,,,
JQ,Jetstar,Asia Pacific,AUD,,,Y,,,,,,,
CI,China Airlines,Asia Pacific,TWD,214736800,0.789,N,65,300,0.098,48984014000,,84,
KC,Air Astana,Asia Pacific,USD,129514000,0.8,N,23,50,0.114,12491000000,5.3,49,
BR,EVA Air,Asia Pacific,TWD,962786980,0.831,N,35,,0.087,60905046000,,87,
MH,Malaysian Airlines,Asia Pacific,MYR,,,N,,,,,,,
VJ,VietJet,Asia Pacific,VND,7593057,0.85,Y,17,125,,,6,87,
5J,Cebu Pacific,Asia Pacific,PHP,154889735,0.84,Y,36,104,0.051,27573157304,5.9,88,
GA,Garuda Indonesia,Asia Pacific,USD,309859637,0.749,N,76,57,0.085,32820000000,,137,7.9
CX,Cathay Pacific,Asia Pacific,HKD,1664200000,0.857,N,78,180,0.098,85607000000,11.1,181,7.7
HU,Hainan Airlines,Asia Pacific,CNY,,,N,,,,,,,
PR,Philippine Airlines,Asia Pacific,PHP,507044466,0.81,N,83,97,0.082,43734000000,9.2,78,
TG,Thai Airways,Asia Pacific,THB,1177800000,0.823,N,64,120,0.09,54280000000,,70,12.2
SG,SpiceJet,Asia Pacific,INR,-129156000,0.87,N,40,,,18251000000,,76,
PK,PIA,Asia Pacific,PKR,,,N,,,,,,,
JT,Lion Air,Asia Pacific,IDR,,,Y,,,,,,,
OZ,Asiana Airlines,Asia Pacific,KRW,481273566,0.78,N,36,,,43119291000,12.1,81,
9C,Spring Airlines,Asia Pacific,CNY,,,Y,,,,,,,
SU,Aeroflot,Asia Pacific,RUB,2036990000,0.875,N,101,216,0.11,141000000000,8.9,349,
NH,ANA,Asia Pacific,JPY,898899000,0.736,N,72,195,0.123,85776000000,,268,
NQ,Air Japan,Asia Pacific,JPY,,,Y,,,,,,,
UO,HK Express,Asia Pacific,HKD,,,Y,,,,,7.1,33,
